‾	kan layi
🥍	bal, sanda, wasan lacrosse, wasan motsa-jiki, ƙwallo
🏓	kulki, matuƙi, tebul tanis, tenis, wasa, wasan tanis, ƙwallo, ƙwallon tebur
🏸	maki, raket, wasa, ƙwallo, ƙwallo mai gashi, ƙwallon gashi
🥊	boksin, dambe, hannun dambe, naushi, safar hannu, safar hannu na dambe
🥋	judo, karate, karet, riga, rigar iyawar wasan faɗa, taekwondo, wasan kokawa, yawar wasan faɗa
🥅	gol, raga, ragar gol, ragar wasa
⛳️	alamar wasan gora, rami, tuta a cikin rami, wasan golf, wasan motsa-jiki
⛸️	sulun ƙanƙara, takalmin wasan ƙanƙara, wasa kan ƙanƙara, wasan ƙanƙara, ƙanƙara
🎣	fatsa, kamun kifi, kifi, sanda, sandar yin su, su
🤿	gilashin nutso, jannatin ruwa, kayan nutso, nutso, scuba, shaƙatawa
🎽	gudu, gyale, riga, rigar gudu, rigar motsa-jiki, shat, shet
🎿	takalmin wasan skis, wasan ski, wasan skis, wasan sulu, wasan sulun ƙanƙara, wasan ƙanƙara, ƙanƙara
🛷	amalanken ƙanƙara, jaka, motar kaya kan ƙanƙara, motar taya ta ƙanƙara, siririya, wasan dusar ƙanƙara, wasan ƙanƙara, ƙanƙara
🥌	dutse, dutsen wasan curling, dutsen ƙwallon ƙanƙara, gem, wasa
🎯	abin bara, auna saiti, buga, bugawa ta kai tsaye, cake, cimma nasara, ido, kai tsaye, kibiya, wasa, wasan wulla kibiya, ʼyar cake
🪀	abin wasa, canzawa, sama da ƙasa, yo-yo, yoyo, zaren yo-yo, ʼyartsana
🪁	fiffiluwa, fifiluwa, filfilwa, jirgin leda, kaya, kite, tashi sama
🔫	bindiga, bindigar hannu, bindigar ruwa, kayan aiki, kayan wasa, makami, wasan ruwa, ƙaramar bindiga
🎱	8, baƙin ƙwallon wasan sunuka, suluka, sunuka, takwas, wasa, wasan billard, ƙwallo, ƙwallon pool 8
🔮	bal, balon kallo, dukiya, gobe, gobe da nisa, kayan aiki, kiristal, krisal, labarin aljana, ƙwallon boka, ƙwallon duba, ƙwallon kiristal
🪄	matsafi, mayya, sandan sihiri, sandar matsafa, sandar sihiri, sandar tsafi, sihiri
🎮️	gem, hannun gem, linzamin gem, masarrafa, tv gem, wasa, wasan bidiyo
🕹️	abin buga wasa, hannun gem, tv gem, wasa, wasan, wasan bidiyo
🎰	caca, gem, injin caca, na’urar kaya mai karɓin kuɗi, rami, wasa
🎲	dayi, dayis, dayis na wasa, gem, lido, ludo, wasa, wasan
🧩	bada haske, caza ƙwaƙwalwa, haɗa juna, wasa mai wuyar warwara, wasa mai wuyar warwarewa, wasan jigsaw, yanki, zarto
🧸	abin wasa, buga wasa, cushe, kayan wasa, tedi, tunkun wasa, wasan yara, ƙari, ʼyar-tsana, ʼyartsana
🪅	biki, bikin cinco de mayo, liyafa, pinata, shagali
🪩	disko, gidan rawa, liyafa, rawa, walwali, ƙwallon madubi, ƙyalƙyal, ƙyalƙyali
🪆	babushka, rasha, sheƙa, ʼyar tsana, ʼyar-tsana, ʼyartsana, ʼyartsana mai sheƙa
♠️	karta, kati, wasa, wasan karta, zubin suffa
♥️	hankaɗa zuci, hat, kati, motsa zuciya, wasa, zubin kubbi, zuciya
♦️	daiman, gem, kati, katin karta, wasa, zubin zi
♣️	kati, katin karta, kulob, wasa, zubin kuri
♟️	dara, dupe, mai faɗaɗuwa
🃏	gem, joka, karta, kati, katin wasa, wasa, wildcard
🀄️	gem, ja, jan daragon na mahjong, mahjong, wasa
🎴	Na Japan, bugawa, fure, kati, katin wasa mai fure, katinan wasa mai fure, katunan wasa mai fure, na japan, wasa
🎭️	abin rufen ido, fasaha, fuska, fuskar dodo, kayan wasa, kwaikwayo, mas, wasan kwaikwayo, wurin wasan kwaikwayo, ʼyan wasa
🖼️	fasaha, fenti, firem, hoto, hoto mai firem, hoto na bango, ma’adanar kayayyakin tarihi, nune-nune, wajen adana kayan tarihi, zane
🎨	allon fenti, allon mai zane, allon zane, fasaha, fenti, kala, kaloli, ma’adanar kayayyakin tarihi
🧵	allura, kayan ɗinki, kirtani, kwalliya, kwarkwaron zare, zare, zare da abawa, ɗinki
🪡	allura, allurar ɗinki, faci, kwalliya, sutura, zare, zare da allura, ɗinkawa, ɗinki
🧶	saƙa, ulu, zaren saƙa, ƙwallo, ƙwallon zare, ƙwanƙwasa, ɗinki
🪢	igiya, karkata, ruɗani, zarge, ƙulla, ƙulli, ɗauri
👓️	abin gani, gani, gilashi, gilashin ido, ido, kayan ido, madubi, sutura, tabarau
🕶️	duhu, fuska, gani, gilashi, gilashin rana, ido, kayan ido, kwalliya, makaho, tabarau
🥽	gilashi, gilashin ido, iyo, kare ido, kariyar idanu, kariyar ido, kayan iyo, kayan ruwa, kayan shiga ruwa, tabarau, tabarau na ido, walda
🥼	gwaji, inifam, jaket, kayan sa wa, likita, masanin kimiyya, rigar likita, tufafi, yunifom
🦺	aikin hanya, falmaran, falmaran ta kariya, gaggawa, haɗari, kariya, maʼaikata, rigar aiki, rigar kariya
👔	laktayi, riga, shat, sutura, taye, tufafi
👕	kaya, riga, shat, sutura, ti-shat, tshat
👖	dogon wando, jin, jis, suruta, sutura, turoza, wando, wanduna
🧣	hirami, hunturu, mayafi, sanyi, wuya, ɗankwali
🧤	hannu, safa, safar hannu
🧥	huntutu, jaket, jakiti, kayan sanyi, kwat, rigar sanyi, sanyi
🧦	safa, safar ƙafa, safofi, sanyi, ƙafa
👗	doguwar riga, kayan sa wa, riga, rigar mata, sutura, suturar mata, tufafi, tufafin mata
👘	kimono, rigar kimono, sutura, tufafi, tufafin japan
🥻	kayan indiya, naɗa sari, naɗin sari, sari, sutura, tufafi, tufafin indiya, ʼyan indiya
🩱	rigar iyo, rigar ninƙaya, rigar ninƙaya-guda, rigar wanka
🩲	fant, kamfai, rigar ninƙaya, rigar wanka, wando, yanki ɗaya, ɗan diras, ɗan duros, ɗan kamfai, ʼyan ciki
🩳	gajeren wando, koren wando, rigar wanka, wando, ʼyan ciki
👙	bakin ruwa, bikini, kayan bikini, kayan mata, kayan ninƙaya, ninƙaya, sutura
👚	bulawus, kayan sa wa, mace, mata, riga, rigar mata, sutura, suturar mace, tufafi
🪭	ba da iska, fanka, fiffita, gumi, jin kunya, kaɗawa, mafici mai naɗewa, maficin rawa, sanyaya, zafi, zagi
👛	fas, jaka, jakar fas, jakar hannu, jakar mata, kayan kwalliya, sutura, tsaba, tsabar kuɗi, ƙaramar jakar hannu
👜	adon mata, jaka, jakar hannu, jakar mata, kayan ado, kwalliya, mata, sayayya, sutura, ƙaramar jakar hannu
👝	fos, jaka, jaka mara hannu, jakar hannu, jakar mata, kayan kwalliya, sutura, zabira
🛍️	hotal, jaka, jakar sayayya, jakukkuna sayayya, jakuna, sayayya
🎒	gafaka, jaka, jakar baya, jakar baya ta makaranta, jakar goyo, jakar makaranta, makaranta
🩴	sandal, sandal mai maɗauri, sandal na bakin teku, sandaloli, sandaloli masu maɗauri, silifa, silifas, takalmi, takalmin banɗaki, zori
👞	mutum, sutura, takalmi, takalmi ruwan ƙasa, takalmin maza
👟	kambas, motsa-jiki, sutura, takalmi, takalmin gudu, takalmin tanis, tanis, tsere, wasan guje-guje, wasan tanis
🥾	hawa dutse, jakar baya, kwanan daji, sau-ciki, takalmi, takalmi ruwan ƙasa, takalmin yawo, yawo, zango
🥿	koren takalmi, kwabashu, sau-ciki, silifa, takalmi lebur, takalmi mara tudu, takalmin ballet, takalmin rawa, talalmi, zamewa-kan
👠	diddige, gayu, kwabashu, kwalliya, mace, sutura, takalmi, takalmi coge, takalmi mai doguwar dunduniya
👡	kwalliya, mace, sakadale, sandal, sandal na mata, sutura, takalmi, takalmin gayu, takalmin mata
🩰	rawa, rawar ballet, takalam rawa, takalam rawar ballet, takalman rawar ballet, takalmin mata
👢	but, but na mace, kwabashu, mace, sakadale, sutura, takalmi, takalmin gayu, takalmin mata
🪮	Tara gashhi, gashi, gyaran gashi, kum, mataji, matajin gashi, matajin kai, suma, taje kai, tajewa, tara gashi
👑	gimbiya, kambi, kambun sarauta, nasara, sarauniya, sarauta, sarki, sutura
👒	hula, hular mace, hular mata, kayan ado, kayan kwalliya, kwalliya, mace, mata, sutura
🎩	hula, hular abraham, sama, shaho, shigar manya, sutura
🎓️	hula, hular kammala makaranta, hular saukar karatu, ilimi, masani, saukar karatu, shagali, sutura
🧢	fesinkaf, hana-salla, hula mai baki, hular wasan baseball
🪖	hular kwano, hular-kwano, jarumi, kayan yaƙi, soja, soji, yaƙi
⛑️	ceto, ceton lafiya, fuska, hula, hular kwano, hular kwano na ma’aikacin ceto, hular kwano ta ma’aikacin ceto, kiyaye haɗura, kiyaye lafiya, kuros, lafiya, taimako
📿	abin wuya, addini, addu’a, carbi, casbaha, cazbi, ibada, sutura
💄	jan-baki, kayan shafawa, kayan shafe-shafe, kwalliya, kwalliyar mata, mata
💍	aure, auren zobe, baiko, bikin aure, daimun, soyayya, zobe, ƙyalli
💎	daraja, diamun, dutse, lu’ulu’u, mai daraja, maʼadanai, maʼadani
🔇	an sa sifika shiru, hana surutu, hayaniya, kashe sauti, kashe ƙara, mai magana, mai magana da aka yiwa shiru, mai shiru, nutsuwa, shiru, sifika, yi shiru
🔈️	maras ƙarfi, murya, sauti, sauti kaɗan, sifika, sifika ƙarfin murya na ƙasa, ƙara
🔉	matsakaici, matsakaicin sauti, sauti, sifika, sifika matsakaicin ƙarfin murya, ƙarfin murya
🔊	mai ƙarfi, sauti, sifika mai ƙara, sifika ƙarfin murya na sama, ƙara murya, ƙara sauti, ƙure sauti
📢	amsa amo, amsa kuwwa, jawabi, jawabi ga jama’a, lasifika, magana, mai ƙarfi, sadarwa, sanƙira, shela, ƙara
📣	bututun sanarwa, bututun ƙara magana, fa ƙi da ƙarfi, mai shela, sanarwa, sanƙira, sauti, shela, shewa
📯	busa, busawa, kakaki, kakaki na gidan waya, na gidan waya, saƙo, ƙaho
🔔	buga ƙararrawa, coci, sauti, ƙararrawa
🔕	an hana, kashe sanarwa, kashe sauti, kashe ƙararrawa, mai shiru, shiru, yi shiru, yin shiru, ƙararrawa, ƙararrawa mai maƙalatu
🎼	alama, alamar kiɗa, alamar raujin kiɗa, kiɗa, rubuta kiɗa, rubutun kida, rubutun kiɗa
🎵	alamar sauti, kiɗa, rubuta kiɗa, rubutu, rubutun kiɗa, sauti
🎶	kiɗa, rubuce-rubuce, rubuce-rubucen kiɗa, rubuta kiɗa, rubutu, rubutun kiɗa, sauti
🎙️	kiɗa, lasifika, makirufo, makirufon, makurofon, makurofon na sutudiyo, sutudiyo
🎚️	kiɗa, lebur, majanyi, majanyin lebur, ƙara sauti
🎛️	abin ƙara sauti, kiɗa, mamurɗi, mamurɗin sarrafa, mamurɗin sarrafawa, sarrafa, ƙara magana
🎤	amsa amo, bin waƙa, karaoke, kiɗa, lasifika, makirifo, makurofon, sauti, waƙa
🎧️	eyafis, hedifon, mazirin kunne, mazirorin kunne, naʼaurar sauti, naʼurar saurare, sauti, shedifan
📻️	bidiyo, radiyo, rediyo, shaƙatawa
🎷	algaita, busa, kakaki, kayan kiɗa, kiɗa, mabushi
🪗	akodiyon, akwatin matsawa, biki, kayan kiɗa, kiɗa, kukuma, shagali
🎸	gurmi, gurmin bature, jita, kayan kiɗa, kiɗa
🎹	fiyano, kayan kiɗa, kibod, kibod na kiɗa, kiɗa, madanni, piano
🎺	abin busa, algaita, busa, busawa, kakaki, kayan kiɗa, kiɗa, sarewa
🎻	biki, goge, kayan kiɗa, kiɗa, shagali
🪕	banjo, gurmi, gurmin banjo, kayan kiɗa, kiɗa
🥁	ganga, kiɗa, makiɗa, makiɗi, sandunan ganga
🪘	biki, conga, doguwar ganga, ganga, kalangu, kaɗa, kiɗa, rauji
🪇	biki, buga, girgiza, kacau-kacau, karkaɗa, kayan aiki, kayan kiɗa, kaɗe-kaɗe, kiɗa, rawa, walima, waƙa
🪈	abin busawa, busawa, bututu, fayin, kayan kiɗa, mabushi, makaɗi, rikoda, sarewa, waƙa
🪉	abin kiɗa na harp, cupid, kaya, kayayyaki kiɗa, kiɗa, soyayya
📱	babbar waya, na hannu, salula, sel, tafi-da-gidanka, tarho, waya, wayar hannu, wayar salula, wayar tafi-da-gidanka
📲	karɓa, kibiya, kiran waya, na hannu, salula, sel, tarho, waya, wayar hannu tare da kibiya, wayar salula, wayar tafi-da-gidanka
☎️	tangaraho, tarho, waya
📞	hannun waya, kan tarho, sadarwa, tangaraho, tarho, waya
📟️	naʼurar ankararwa, na’urar faɗakarwa, sanarwa
📠	faks, injin faks, mashin na sadarwa, rubutu, sadarwa, saƙo, tarho, wasiƙa
🔋	batir, batiri, lantarki, wuta
🪫	batir, batir ya yi sanyi, batir ya yi ƙasa, batiri, lantarki, wuta ƙasa, ƙarancin wuta
🔌	fulogi, fulogin lantarki, na lantarki, soket, wuta, wutar lantarki
💻️	kwamfuta, kwamfutar tafi-da-gidanka, laftaf, laptop, na keɓe, ofis, pc
🖥️	destof, kwamfuta, kwamfutar destof, kwamfutar na destof, naʼura mai ƙwaƙwalwa
🖨️	buga takarda, firinta, kwamfuta, naʼurar buga takarda, na’urar ɗab’i
⌨️	allo, allon madannai, kibod, kwamfuta, madaanan kwafuta, madannai, maɓallai, maɓalli, naʼura mai ƙwaƙwalwa
🖱️	kwamfuta, linzamin kwamfuta, mawus
🖲️	bal na bin sawu, bal ta bin sawu, kwamfuta, linzami, linzamin kwamfuta
💽	cd, diski, diskin kwamfuta, faifai, faifan cd, kwamfuta, na da’ira, ƙaramin diski
💾	diski, diski na floppy, kwamfuta, maʼadanar kwamfuta, maʼajiya, na floppy
💿️	cd, diski, diski na da’ira, dvd, faifai, faifan cd, kaset, kwamfuta, na da’ira
📀	Blu-ray, CD, DVD, diski, dvd, faifai, faifan dvd, kwamfuta, na da’ira
🧮	abakus, abin lissafi, kakuleta, kalkuleta, lissafi
🎥	fim, hoto, kannywood, kyamara, kyamarar fim, nollywood, silima, ɗaukar hoto
🎞️	bidiyo, fim, firem na hoto, firem-firem, firem-firem na fim, kyamara, silima, ɗaukar bidiyo, ɗaukar hoto
📽️	bidiyo, fim, firojakta, frajekta, frajekta na fim, furojakta, injin majigi, majigi, naʼurar majigi, silima
🎬️	allon nuna fim, allon nunan wasan fim, allon yin fim, allon ɗaukar bidiyo, allon ɗaukar fim, fim, shutin, ɗaukar bidiyo, ɗaukar hoto
📺️	bidiyo, kallo, talabijan, tv
📷️	bidiyo, hoto, instagram, kyamara, salfi, ɗaukar bidiyo, ɗaukar hoto
📸	bidiyo, filash, filasha, hoto, kyamara, kyamara mai ƙyalla, ƙyalla, ɗaukar hoto
📹️	bidiyo, hoto, kyamara, kyamarar bidiyo, ɗaukar hoto
📼	bidiyo, kaset, kaset na bidiyo, kaset ɗin bidiyo, vhs
🔍	gilashi, gilashi mai ƙara girma mai nunawa hagu, gilashin bincike, kayan aiki, kimiyya, mai ƙara girma, manuni, nema, ƙara girma
🔎	gilashi, gilashi mai ƙara girma mai nunawa dama, gilashin bincike, kayan aiki, madubi, madubin bincike, madubin kimiyya, madubin nazari, mai ƙara girma, nema
🕯️	fitila, fitilar kyandir, hasken kyandir, hasken wuta, kyandir, kyandiri, wuta, wutar kyandir, wutar lantarki
💡	fitila, gulob, gulof, haske, kunnawa, kwan fitila, mai ban dariya, na lantarki, shawara, wuta, ƙwai, ƙwan fitila, ƙwan lantarki
🔦	fitila, haske, kayan aiki, na lantarki, tocila, wuta
🏮	fitila, haske, ja, jan fitilan takarda, jar fitila, sanda, wuta, ƙwan fitila
🪔	diya, fitila, fitilar diya, fitilar mai, fitilar man kaɗai, fitilar ruwa, haske, mai
📔	bangon littafi, littafi, littafin rubutu, littafin rubutu mai sama na ado, mai ado, makaranta, rubutu, sama
📕	ilimi, ja littafi, karatu, littafi, rufaffe, rufaffen littafi
📖	buɗaɗɗen, buɗaɗɗen littafi, ilimi, laburare, littafi, littafi buɗaɗɗe, makaranta, shafin littafi
📗	ilimi, kore, koren littafi, laburare, littafi
📘	bulun littafi, karatu, littafi, shuɗi, shuɗin littafi
📙	Vote littafi, karatu, littafi, littafi mai ruwan goro, littafi ruwan goro, ruwan goro
📚️	ilimi, karatu, laburare, littafai, littafi, littattafai, makaranta, nazari, rubutu, ɗakin karatu
📓	karatu, littafi, littafin rubutu, makaranta
📒	daftari, laja, leja, littafi, littafin rubuta lissafi, littafin rubutu, rakwad
📃	bayani, daftari, nannaɗaɗɗiyar takarda, nannaɗi, naɗewa, rubutu, shafi, shafi mai nannaɗi, takarda
📜	gungura, nannaɗaɗɗiyar takarda, nannaɗe takarda, takarda
📄	buɗe shafi, daftari, sabon shafi, shafi, shafi mai kallon sama
📰	gidan jarida, jarida, labarai, labaru, mujalla, takarda, yaɗa labarai
🗞	jarida, labarai, labari, labaru, mujalla, naɗaɗɗe, naɗaɗɗiyar jarida, takarda
📑	alamar littafi, ma sa maki, maki, maɓallai, maɓallan ma’ajiyar rubutu, ma’ajiyar rubutu, takarda
🔖	alamar inda aka tsaya da karatu, alamar littafi, alamar tsayawa, inda aka tsaya da karatu, karatu, kilif, kiyaye shafin karatu, maki, ma’ajiyar rubutu
🏷️	alama, alamar liƙawa, alamar liƙe, laƙabi
💰️	banki, biliyan, dala, dukiya, jaka, jakar kuɗi, kuɗi, tsabar kuɗi
🪙	arziƙi, azurfa, dala, dukiya, kuɗi, naira, nera, taska, tsabar kuɗi, zinariya, ƙarfe
💴	banki, kuɗi, kuɗin banki, kuɗin ƙasa, takardar kuɗi, takardar kuɗi na yen, takardar kuɗi ta yen, yen
💵	arziƙi, banki, dala, daloli, kuɗi, kuɗin banki, kuɗin ƙasa, takardar kuɗi, takardar kuɗi na dala
💶	arziƙi, banki, euro, kuɗi, kuɗin banki, kuɗin ƙasa, takardar kuɗi, takardar kuɗi na euro
💷	banki, fam, fan, kuɗi, kuɗin banki, kuɗin ƙasa, takardar kuɗi, takardar kuɗi na fam
💸	dala, dalar amurka, fikafiki, fuffuke, fukafuki, guduwa, kuɗi, kuɗi mai fikafiki, kuɗi masu fukafuki, kuɗin banki, takardar kuɗi, tashi
💳️	ATM, banki, bashi, kati, katin banki, katin bashi, katin cire kuɗi, katin kuɗi, katin rance, katin saka kuɗi, kuɗi
🧾	ajiyar kuɗi, hujja, lissafin kuɗi, rasit, rasiti, shaida
💹	Vote kuɗi, jadawalin farashin kasuwa, kuɗin cana, kuɗin yen, tashin kasuwa, yen, zane, zanen lissafi, zanen lissafi mai ƙaruwa da yen, ƙaruwa
✉️	ambulan, ambulo, imel, saƙo, saƙon imel, wasiƙa
📧	imel, saƙo, saƙo intanet, wasiƙa
📨	ambulan, ambulo, ambulo mai shigowa, imel, karɓa, mai shigowa, saƙo, saƙon ambulan, wasiƙa
📩	ambulan, ambulo, ambulo tare da kibiya, imel, kibiya, mai fitowa, wasiƙa, wasiƙa mai shigowa, zuwan saƙo
📤️	akwati, akwatin fayil, akwatin ofis, akwatin saƙo, akwatin saƙon gefe, akwatin wasiƙa, mel, tire, tire na akwatin saƙon gefe, tire na ofis, wasiƙa
📥️	akwati, akwatin saƙo, karɓa, mel, tire, tire na akwatin saƙo, tire na ofis, wasiƙa
📦️	aike, akwati, fakit, fakiti, kwali, sadarwa
📫️	akwatin gidan waya, akwatin saƙo, akwatin wasiƙa, gidan waya, mel, rufaffe, rufaffen akwatin gidan waya, rufaffen akwatin saƙo, rufaffen akwatin saƙo da ɗagaggiyar tuta, sadarwa
📪️	akwatin gidan waya, akwatin saƙo, akwatin wasiƙa, gidan waya, mel, rufaffe, rufaffen akwatin saƙo tare tuta ƙasa-ƙasa, ƙasa-ƙasa
📬️	akwatin gidan waya, akwatin saƙo, akwatin wasiƙa, buɗaɗɗe, buɗaɗɗen akwatin saƙo da ɗagaggiyar tuta, gidan waya, mel, saƙo, wasiƙa
📭️	akwatin gidan waya, akwatin saƙo, akwatin wasiƙa, buɗaɗɗe, buɗaɗɗen akwatin saƙo tare tuta ƙasa-ƙasa, gidan waya, mel, saƙo, wasiƙa, ƙasa-ƙasa
📮	aika wasiƙa, akwatin saƙo, akwatin wasiƙa, mel, saƙo, wasiƙa
🗳️	akwati, akwatin ƙuriʼa, akwatin ƙuri’a mai ƙuri’a, jefa ƙuri’a, katin zaɓe, kaɗa ƙuri’a, zaɓe, ƙuri’a
✏️	fensir, fensir da kilina, fensir mai kilina, fensiri, kilina
✒️	alƙalami, alƙalami mai tawadar ruwa, bakin alƙalami, baƙin alƙalami, baƙin bakin alƙalami
🖋️	alƙalami, alƙalami mai inkin ruwa, alƙalami mai tawada, alƙalamin inki, alƙalamin ruwa, marmaro, tawada
🖊️	alƙalami, biro
🖌️	buroshin fenti, burushi, fenti, kwalliya, shafawa, zane
🖍️	fensir mai launi, kala, kirayon, rubutu, zane
📝	alƙalami, daftari, fensir, rahoto, rubutu, saƙo, takarda da fensir, wasiƙa
💼	jaka, jakar aiki, jakar hannu, jakar ofis, ofis
📁	fayil, fayiloli, folda, foldar fayil
📂	buɗaɗɗe, buɗaɗɗiyar foldar fayil, fayil, folda
🗂️	akwatin ajiyar fayil, fihirisa, kati, kundi, kundin kati, mai rabawa, masu rabawa fihirisan kati, maʼajiyar fayil, maʼajiyar fayiloli
📅	kalanda, kwanan wata, lokaci, zamani
📆	canja kalanda, cire kalanda, kalanda, kalanda da aka yage, lokaci
🗒️	abin rubutu, littafin rubutu mai lanƙwasawa, mai lanƙwasawa, rubutu, shafin littafi, takarda
🗓️	abin rubutu, kalanda, kalanda mai lanƙwasawa, kwanan wata, mai lanƙwasawa, shafin kalanda
📇	akwatin adana katin bayanai, fihirisa, kati, katin fihirisa, katin laburare, kundi, kundin kati, kundin laburare, rolodex
📈	bayanin hauhawar kasuwa, hauhawa, salo, tashi, tashi sama, tashin gwauron zabi, zane, zanen lissafi, zanen-lissafi mai ƙarawa, zanen-lissafi mai ƙaruwa, zuwa sama, ƙarawa, ƙaruwa
📉	faɗuwa, karyewar daraja, karyewar kasuwa, maʼaunin saukar kasuwa, salo, saukar daraja, saukar kasuwa, zane, zanen-lissafi, zanen-lissafi mai ragewa
📊	allon jadawali, alƙaluma, sanda, zane, zanen lissafi, zayyana
📋️	allo, allon maƙala rubutu, allon zane, jadawali, rubutu
📌	allura, fil, fin, kafe, mai yin maki wuri, takarda
📍	alama, alamar wuri, fil, fil mai zagaye, kewayen mai yin maki wuri, mai yin maki wuri, sheda
📎	kilif, kilif ɗin takarda, takarda
🖇️	haɗaɗɗen kilif, kilif, mahaɗi, takardu
📏	kusurwa, miƙaƙƙen gefe, miƙaƙƙiya, miƙaƙƙiyar rula, rula
📐	alwatika, kayan karatu, kusurwa, lissafi, rula, rula na alwatika, rular kusurwa, tsari
✂️	almakashi, kayan aiki, takarda, tela, yadi, yankawa, yankewa
🗃️	akwati, akwatin ajiya, akwatin fayil, akwatin fayil na kati, akwatin ofis, fayil, kati
🗄️	ajiya, durowa, fayil, kabad, kabad na fayil, kabed, kwabar fayil, maʼajiya, naɗawa a fayil
🗑️	kwando, kwandon shara, shara
🔒️	a kulle, kullalle, kwaɗo, makulli, na sirri, rufaffe
🔓️	a buɗe, a kulle, buɗaɗɗen kwaɗo, buɗe, kwaɗo
🔏	a kulle tare da alƙalami, alƙalami, bakin alƙalami, biro, kulallen kwaɗo, kulle, kwaɗo, sirri, tawada
🔐	a kulle, a kulle da makulli, kwaɗo, kwaɗo da mabuɗi, kwaɗo da makulli, mai tsaro, makulli, rufaffe
🔑	buɗewa, kalmar sirri, kulle, mabuɗi, makulli, mukulli
🗝️	buɗe, buɗewa, kulle, kullewa, mabuɗi, makulli, matashiya, tsoho, tsohon makulli
🔨	guduma, gyara, hamma, kafinta, katako, kayan aiki
🪓	gatari, itace, kurada, sara, saran ice, tsaga, ƙaramin gatari
⛏️	diga, haƙa, haƙar maʼadanai, haƙo, kayan aiki, maʼadanai, tono
⚒️	diga, guduma, guduma da diga, gyara, kayan aiki, tono
🛠️	gudana da sufana, guduma, guduma da sifana, kayan aiki, sifana, sufana
🗡️	makami, suka, wuƙa, wuƙar zabira, wuƙar ƙugu, yanka
⚔️	harɗe, haɗaɗɗe, haɗaɗɗun takuba, karaskiya, kayan faɗa, makami, sara suka, takuba, takubba, ʼyar kare
💣️	bam, danja, fashewa, haɗari, mai ban dariya, tarwatsewa
